team,team_code,number,name,type
Panini,PANINI,0,Panini Logo - We Are Panini,panini special · foil
World Cup History,FWC,1,Official Emblem,FIFA World Cup special · foil
World Cup History,FWC,2,Official Emblem,FIFA World Cup special · foil
World Cup History,FWC,3,Official Mascots,FIFA World Cup special · foil
World Cup History,FWC,4,Official Slogan,FIFA World Cup special · foil
World Cup History,FWC,5,Official Ball,FIFA World Cup special · foil
World Cup History,FWC,6,Canada - Host Countries & Cities,FIFA World Cup special · foil
World Cup History,FWC,7,Mexico - Host Countries & Cities,FIFA World Cup special · foil
World Cup History,FWC,8,USA - Host Countries & Cities,FIFA World Cup special · foil
World Cup History,FWC,9,Italy 1934 - World Cup History,FIFA World Cup special · foil
World Cup History,FWC,10,Uruguay 1950 - World Cup History,FIFA World Cup special · foil
World Cup History,FWC,11,West Germany 1954 - World Cup History,FIFA World Cup special · foil
World Cup History,FWC,12,Brazil 1962 - World Cup History,FIFA World Cup special · foil
World Cup History,FWC,13,West Germany 1974 - World Cup History,FIFA World Cup special · foil
World Cup History,FWC,14,Argentina 1986 - World Cup History,FIFA World Cup special · foil
World Cup History,FWC,15,Brazil 1994 - World Cup History,FIFA World Cup special · foil
World Cup History,FWC,16,Brazil 2002 - World Cup History,FIFA World Cup special · foil
World Cup History,FWC,17,Italy 2006 - World Cup History,FIFA World Cup special · foil
World Cup History,FWC,18,Germany 2014 - World Cup History,FIFA World Cup special · foil
World Cup History,FWC,19,Argentina 2022 - World Cup History,FIFA World Cup special · foil
Algeria,ALG,1,Team Logo,team logo · foil
Algeria,ALG,2,Alexis Guendouz,player sticker
Algeria,ALG,3,Ramy Bensebaini,player sticker
Algeria,ALG,4,Youcef Atal,player sticker
Algeria,ALG,5,Rayan Aït-Nouri,player sticker
Algeria,ALG,6,Mohamed Amine Tougai,player sticker
Algeria,ALG,7,Aïssa Mandi,player sticker
Algeria,ALG,8,Ismael Bennacer,player sticker
Algeria,ALG,9,Houssem Aquar,player sticker
Algeria,ALG,10,Hicham Boudaoui,player sticker
Algeria,ALG,11,Ramiz Zerrouki,player sticker
Algeria,ALG,12,Nabil Bentalab,player sticker
Algeria,ALG,13,Team Photo,team photo
Algeria,ALG,14,Farés Chaibi,player sticker
Algeria,ALG,15,Riyad Mahrez,player sticker
Algeria,ALG,16,Said Benrahma,player sticker
Algeria,ALG,17,Anis Hadj Moussa,player sticker
Algeria,ALG,18,Amine Gouiri,player sticker
Algeria,ALG,19,Baghdad Bounedjah,player sticker
Algeria,ALG,20,Mohammed Amoura,player sticker
Argentina,ARG,1,Team Logo,team logo · foil
Argentina,ARG,2,Emiliano Martinez,player sticker
Argentina,ARG,3,Nahuel Molina,player sticker
Argentina,ARG,4,Cristian Romero,player sticker
Argentina,ARG,5,Nicolas Otamendi,player sticker
Argentina,ARG,6,Nicolas Tagliafico,player sticker
